Symbol,Date,Time,CompanyName,Title,sentiment_label,sentiment_score,sentiment_category,sentiment_sub_category,sentiment_explanation,sentiment_flags
PAEL,2021-10-18,3:29 PM,Pak Elektron Limited,"Board Meeting for the 3rd Quarter Ended September 30, 2021 (Un-Audited)",neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
BAFL,2021-10-15,9:15 AM,Bank Alfalah Limited,Board Meeting,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
DGKC,2021-10-15,3:35 PM,D.G. Khan Cement Company Limited,BOARD MEETING,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
FABL,2021-10-15,11:40 AM,Faysal Bank Limited,Board of Directors' Meeting of Faysal Bank Limited,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
HBL,2021-10-15,3:03 PM,Habib Bank Limited,"Financial Statements for the Third Quarter Ended September 30, 2021",neutral,0.95,Regulatory Filing,accounts_transmission,Transmission or filing of financial statements or accounts,accounts_transmission
HBL,2021-10-15,1:54 PM,Habib Bank Limited,"Announcement of Financial Results for the Third Quarter Ended September 30, 2021",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
ILP,2021-10-15,3:24 PM,Interloop Limited,Certified Resolution(s) passed in the 29th Annual General Meeting of Interloop Limited,positive,0.87,Corporate Event,award_achievement,"Company wins award, achieves milestone, or record performance",award_win
ILP,2021-10-15,2:50 PM,Interloop Limited,"Quarterly Progress Report for the Period Ended September 30, 2021",neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
ILP,2021-10-15,2:41 PM,Interloop Limited,"Financial Results for the 1st Quarter Ended September 30, 2021",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
INIL,2021-10-15,2:16 PM,International Industries Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
INIL,2021-10-15,2:13 PM,International Industries Limited,Board Meeting,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
MEBL,2021-10-15,11:10 AM,Meezan Bank Limited,NOTICES OF BOOK CLOSURE FOR THE ENTITLEMENT OF 15% INTERIM CASH DIVIDEND FOR SHAREHOLDERS OF MEEZAN BANK LIMITED,neutral,0.97,Admin,book_closure,Book closure notice for dividend or entitlement,book_closure
NBP,2021-10-15,3:34 PM,National Bank of Pakistan,Board Meeting,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
PPL,2021-10-15,12:35 PM,Pakistan Petroleum Limited,Meeting of the Board of Directors and Closed Period,neutral,0.9,Corporate Event,meeting_logistics,"Change in meeting time, date, or closed period notification",meeting_logistics
PRL,2021-10-15,2:59 PM,Pakistan Refinery Limited,Board Meeting (Quarter Accounts),neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
EFERT,2021-10-14,9:16 AM,Engro Fertilizers Limited,Resignation of Director,neutral,0.9,Corporate Event,resignation,Resignation or retirement of board member or executive,resignation
FFC,2021-10-14,12:08 PM,Fauji Fertilizer Company Limited,Notice of Extraordinary General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
INIL,2021-10-14,9:57 AM,International Industries Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
MEBL,2021-10-14,1:15 PM,Meezan Bank Limited,"FINANCIAL RESULTS FOR THE QUARTER AND NINE MONTHS ENDED SEPTEMBER 30, 2021",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
MLCF,2021-10-14,11:44 AM,Maple Leaf Cement Factory Limited,Board Meeting,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
OGDC,2021-10-14,2:40 PM,Oil & Gas Development Company Limited,Change/Appointment of MD/CEO OGDCL,neutral,0.94,Corporate Event,appointment,Appointment or reappointment of board member or executive,appointment
ATRL,2021-10-13,3:19 PM,Attock Refinery Limited,BOARD MEETING AND CLOSED PERIOD,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
ATRL,2021-10-13,10:42 AM,Attock Refinery Limited,CERTIFIED COPY OF THE RESOLUTIONS PASSED AT THE ANNUAL GENERAL MEETING,positive,0.87,Corporate Event,award_achievement,"Company wins award, achieves milestone, or record performance",award_win
EFERT,2021-10-13,2:19 PM,Engro Fertilizers Limited,"Financial Results for the Quarter ended September 30, 2021",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
FFC,2021-10-13,2:49 PM,Fauji Fertilizer Company Limited,Approved Resolution - EOGM,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
POL,2021-10-13,12:42 PM,Pakistan Oilfields Limited,INTIMATION OF BOARD MEETING & NOTIFICATION OF CLOSED PERIOD,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
SEARL,2021-10-13,9:17 AM,The Searle Company Limited,Revision In Book Closure Dates,neutral,0.97,Admin,book_closure,Book closure notice for dividend or entitlement,book_closure
ENGRO,2021-10-12,11:03 AM,Engro Corporation Limited,"Board Meeting for the announcement of the financial results for the nine months ended September 30, 2021",neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
FFC,2021-10-12,9:16 AM,Fauji Fertilizer Company Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
LUCK,2021-10-12,12:51 PM,Lucky Cement Limited,Resignation of Independent Director,neutral,0.9,Corporate Event,resignation,Resignation or retirement of board member or executive,resignation
EFERT,2021-10-11,3:22 PM,Engro Fertilizers Limited,Analyst Briefing,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
INIL,2021-10-11,2:54 PM,International Industries Limited,E-CREDIT OF 65% FINAL CASH DIVIDEND (D-52),positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
LUCK,2021-10-11,3:24 PM,Lucky Cement Limited,Appointment of Chairman and Chief Executive,neutral,0.94,Corporate Event,appointment,Appointment or reappointment of board member or executive,appointment
SEARL,2021-10-11,1:58 PM,The Searle Company Limited,Transmission of Annual Report for the Year Ended 2021-06-30,neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
SHEL,2021-10-11,2:49 PM,Shell Pakistan Limited,BOARD MEETING,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
FFC,2021-10-08,11:38 AM,Fauji Fertilizer Company Limited,Change of Directors,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
INIL,2021-10-08,11:07 AM,International Industries Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
POL,2021-10-08,3:02 PM,Pakistan Oilfields Limited,Credit of POL's Final Cash Dividend 2020-21,positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
UBL,2021-10-08,11:01 AM,United Bank Limited,BOARD MEETING OF UNITED BANK LIMITED (UBL),neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
CHCC,2021-10-07,11:32 AM,Cherat Cement Company Limited,ELECTION OF DIRECTORS,neutral,0.97,Corporate Event,election_of_directors,Election or re-election of board directors,election_directors
ILP,2021-10-07,3:12 PM,Interloop Limited,"Notice of Board Meeting for the First Quarter ended September 30, 2021 / Closed Period",neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
SHEL,2021-10-07,1:39 PM,Shell Pakistan Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
FCCL,2021-10-06,2:10 PM,Fauji Cement Company Limited,145th Board Meeting of FCCL - 28th October 2021,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
FFC,2021-10-06,12:29 PM,Fauji Fertilizer Company Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
HBL,2021-10-06,3:18 PM,Habib Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
HBL,2021-10-06,11:18 AM,Habib Bank Limited,"Board Meeting for the Announcement of Financial Results for the Third Quarter ended September 30, 2021",neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
OGDC,2021-10-06,2:21 PM,Oil & Gas Development Company Limited,"Transmission of Annual Report for the year ended June 30, 2021",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
SEARL,2021-10-06,3:20 PM,The Searle Company Limited,Notice of Annual General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
SEARL,2021-10-06,10:36 AM,The Searle Company Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
SHEL,2021-10-06,1:58 PM,Shell Pakistan Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations REVOKED",neutral,0.82,Admin,filing_revoked,Previous filing revoked — usually an administrative correction,revocation
DGKC,2021-10-05,10:27 AM,D.G. Khan Cement Company Limited,"SUBMISSION OF ANNUAL ACCOUNTS FOR THE YEAR ENDED JUNE 30, 2021",neutral,0.95,Regulatory Filing,accounts_transmission,Transmission or filing of financial statements or accounts,accounts_transmission
FABL,2021-10-05,10:13 AM,Faysal Bank Limited,Material Information,neutral,0.88,Regulatory Filing,material_information,Material information disclosure or media clarification,material_info
HUBC,2021-10-05,1:37 PM,The Hub Power Company Limited,Extracts of minutes of AGM,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
MEBL,2021-10-05,2:55 PM,Meezan Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
MEBL,2021-10-05,12:02 PM,Meezan Bank Limited,"PUBLICATION OF NOTICES FOR THE CREDIT OF INTERIM CASH DIVIDEND OF MEEZAN BANK LIMITED FOR THE HALF YEAR ENDED JUNE 30, 2021",positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
MEBL,2021-10-05,10:25 AM,Meezan Bank Limited,NOTICE OF BOARD MEETING AND CLOSED PERIOD,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
BAFL,2021-10-04,12:59 PM,Bank Alfalah Limited,"Newspaper Clippings - Credit of Interim Cash Dividend for the half year ended June 30, 2021",positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
EFERT,2021-10-04,11:44 AM,Engro Fertilizers Limited,Board Meeting,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
FABL,2021-10-04,10:44 AM,Faysal Bank Limited,"Credit of 5% Inyerim Cash Dividend for the half year ended June 30, 2021 of Faysal Bank Limited",positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
MEBL,2021-10-04,11:00 AM,Meezan Bank Limited,Credit of Interim Cash Dividend of Meezan Bank Limited,positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
OGDC,2021-10-04,12:59 PM,Oil & Gas Development Company Limited,Notice of 24TH ANNUAL GENERAL MEETING,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
PPL,2021-10-04,1:38 PM,Pakistan Petroleum Limited,Transmission of Annual Report for the Year Ended 30 June 2021,neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
PSO,2021-10-04,3:18 PM,Pakistan State Oil Company Limited,"Transmission of Annual Report for the Year Ended June 30, 2021",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
SEARL,2021-10-04,1:58 PM,The Searle Company Limited,Financial Results for the Year Ended 2021-06-30,neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
CHCC,2021-10-01,12:31 PM,Cherat Cement Company Limited,Appoitment of Senior Management,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
INIL,2021-10-01,4:16 PM,International Industries Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
LUCK,2021-10-01,3:51 PM,Lucky Cement Limited,CERTIFIED TRUE COPY OF THE RESOLUTIONS PASSED IN THE 28TH ANNUAL GENERAL MEETING OF LUCKY CEMENT LIMITED U/C 5.6.9.(b) OF PSX REGULATIONS,positive,0.87,Corporate Event,award_achievement,"Company wins award, achieves milestone, or record performance",award_win
PPL,2021-10-01,11:13 AM,Pakistan Petroleum Limited,Notice of Annual General Meeting 2021,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
PSO,2021-10-01,10:41 AM,Pakistan State Oil Company Limited,Notice of Annual General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
BAFL,2021-09-30,2:42 PM,Bank Alfalah Limited,"Credit of Interim Cash Dividend for the half year ended June 30, 2021",positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
FFC,2021-09-30,2:08 PM,Fauji Fertilizer Company Limited,FFC Second Interim Dividend 2021,positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
FFC,2021-09-30,9:54 AM,Fauji Fertilizer Company Limited,Disclosure of Material Information,neutral,0.88,Regulatory Filing,material_information,Material information disclosure or media clarification,material_info
INIL,2021-09-30,2:02 PM,International Industries Limited,CERTIFIED COPIES OF THE RESOLUTIONS PASSED AT THE 73RD AGM,positive,0.87,Corporate Event,award_achievement,"Company wins award, achieves milestone, or record performance",award_win
INIL,2021-09-30,12:42 PM,International Industries Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
MEBL,2021-09-30,10:09 AM,Meezan Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
TGL,2021-09-30,3:18 PM,Tariq Glass Industries Limited,"Transmission of Annual Report for the Year Ended June 30, 2021",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
FCCL,2021-09-29,10:11 AM,Fauji Cement Company Limited,Book Closure for 29th Annual General Meeting Scheduled on 20th October 2021,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
HBL,2021-09-29,3:13 PM,Habib Bank Limited,Credit of Second Interim Cash Dividend D 2021(II),positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
INIL,2021-09-29,12:47 PM,International Industries Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
MEBL,2021-09-29,9:42 AM,Meezan Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
DGKC,2021-09-28,11:55 AM,D.G. Khan Cement Company Limited,NOTICE OF ANNUAL GENEARL MEETING,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
FCCL,2021-09-28,2:01 PM,Fauji Cement Company Limited,Transmission of Annual Report for the Year Ended 2021-06-30,neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
FCCL,2021-09-28,1:49 PM,Fauji Cement Company Limited,Notice of Annual General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
MEBL,2021-09-28,11:10 AM,Meezan Bank Limited,PUBLICATION OF NOTICES IN NEWSPAPERS FOR THE CREDIT/DISPATCH OF 15% BONUS SHARES CERTIFICATES OF MEEZAN BANK LIMITED.,positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
MEBL,2021-09-28,11:09 AM,Meezan Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
MLCF,2021-09-28,3:05 PM,Maple Leaf Cement Factory Limited,MLCFL Adoption of Special Resolutions,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
OGDC,2021-09-28,2:46 PM,Oil & Gas Development Company Limited,GAS/CONDENSATE DISCOVERY AT WALI # 01 IN WALI BLOCK KHYBER PAKHTUNKHWA PROVINCE PAKISTAN,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
OGDC,2021-09-28,9:15 AM,Oil & Gas Development Company Limited,"Financial Results for year ended June 30, 2021",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
TGL,2021-09-28,10:15 AM,Tariq Glass Industries Limited,Notice of Annual General Meeting - 2021,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
INIL,2021-09-27,11:04 AM,International Industries Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
MEBL,2021-09-27,1:09 PM,Meezan Bank Limited,Credit/Dispatch of Bonus Share Certificates - Meezan Bank Limited,positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
POL,2021-09-27,3:27 PM,Pakistan Oilfields Limited,CERTIFIED TRUE COPY OF AGENDA ITEMS RESOLVED IN 70TH AGM OF THE COMPANY,positive,0.87,Corporate Event,award_achievement,"Company wins award, achieves milestone, or record performance",award_win
SEARL,2021-09-27,3:02 PM,The Searle Company Limited,Board Meeting,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
CHCC,2021-09-24,12:27 PM,Cherat Cement Company Limited,"Transmission of Annual Report for the Year Ended June 30, 2021",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
FCCL,2021-09-24,11:27 AM,Fauji Cement Company Limited,Corporate Briefing Session 2021,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
HUBC,2021-09-24,3:22 PM,The Hub Power Company Limited,Election of Directors,neutral,0.97,Corporate Event,election_of_directors,Election or re-election of board directors,election_directors
CHCC,2021-09-23,1:34 PM,Cherat Cement Company Limited,Notice of Annual General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
EFERT,2021-09-23,9:21 AM,Engro Fertilizers Limited,Credit of Interim Cash Dividend,positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
HBL,2021-09-23,3:09 PM,Habib Bank Limited,Board Meeting Other than Financial Results,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
ILP,2021-09-23,1:35 PM,Interloop Limited,"Transmission of Annual Report for the Year Ended June 30, 2021",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
ILP,2021-09-23,1:33 PM,Interloop Limited,Publication of Notice of 29th Annual General Meeting in Newspapers,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
ILP,2021-09-23,1:32 PM,Interloop Limited,Notice of 29th Annual General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
MCB,2021-09-23,2:36 PM,MCB Bank Limited,Credit of Second Interim Cash Dividend (D-74),positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
PRL,2021-09-23,3:12 PM,Pakistan Refinery Limited,"Transmission of Annual Report - Year Ended June 30, 2021",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
SEARL,2021-09-23,11:41 AM,The Searle Company Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
BAFL,2021-09-22,10:22 AM,Bank Alfalah Limited,Newspaper clippings regarding withholding of cash dividend due to non-availability of CNIC/IBAN,neutral,0.92,Admin,newspaper_publication,Newspaper advertisement or notice publication,newspaper_notice
PRL,2021-09-22,2:31 PM,Pakistan Refinery Limited,Notice of Annual General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
FFC,2021-09-21,2:39 PM,Fauji Fertilizer Company Limited,Appointment of Managing Director and Chief Executive Officer,neutral,0.94,Corporate Event,appointment,Appointment or reappointment of board member or executive,appointment
INIL,2021-09-21,1:23 PM,International Industries Limited,ANNUAL CORPORATE BRIEFING SESSION 2021,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
PSO,2021-09-21,12:38 PM,Pakistan State Oil Company Limited,Appointment of Member - Board of Management,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
BAFL,2021-09-20,10:35 AM,Bank Alfalah Limited,Draft Newspaper Clippings - Withholding of Dividend due to non-availability of CNIC / IBAN,neutral,0.92,Admin,newspaper_publication,Newspaper advertisement or notice publication,newspaper_notice
MEBL,2021-09-20,3:14 PM,Meezan Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
TGL,2021-09-20,9:16 AM,Tariq Glass Industries Limited,Financial Results for the Year Ended 30 June 2021,neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
HUBC,2021-09-17,2:55 PM,The Hub Power Company Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
PPL,2021-09-17,1:40 PM,Pakistan Petroleum Limited,Notice of Dividend 2020-21 and Book Closure,neutral,0.97,Admin,book_closure,Book closure notice for dividend or entitlement,book_closure
PPL,2021-09-17,1:20 PM,Pakistan Petroleum Limited,Financial Results for the Year Ended 30 June 2021,neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
FFC,2021-09-15,11:21 AM,Fauji Fertilizer Company Limited,FFC - Notice of Extraordinary General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
ILP,2021-09-15,3:06 PM,Interloop Limited,"Board Resolution for issue of Bonus Shares for the Year Ended June 30, 2021",neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
ILP,2021-09-15,3:01 PM,Interloop Limited,"Financial Results For The Year Ended June 30, 2021",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
MEBL,2021-09-15,1:40 PM,Meezan Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
OGDC,2021-09-15,12:03 PM,Oil & Gas Development Company Limited,Board Meeting and closed period,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
POL,2021-09-15,10:02 AM,Pakistan Oilfields Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
SEARL,2021-09-15,1:47 PM,The Searle Company Limited,Material Information,neutral,0.88,Regulatory Filing,material_information,Material information disclosure or media clarification,material_info
BAHL,2021-09-14,3:20 PM,Bank AL Habib Limited,Disclosure of Material Information,neutral,0.88,Regulatory Filing,material_information,Material information disclosure or media clarification,material_info
DGKC,2021-09-14,2:28 PM,D.G. Khan Cement Company Limited,"Financial Results for the year ended June 30,2021",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
FFC,2021-09-14,12:09 PM,Fauji Fertilizer Company Limited,Board Meeting Other Then Financial Results,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
HBL,2021-09-14,11:25 AM,Habib Bank Limited,Board Meeting Other Than Financial Results,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
HUBC,2021-09-14,1:24 PM,The Hub Power Company Limited,Transmission of Annual Report for the Year Ended 30 June 2021,neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
INIL,2021-09-14,12:58 PM,International Industries Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
